招聘标题,公司名称,工作地点,薪资,链接,工作内容
高级销售工程师,北京卓誉科技有限公司,北京-海淀区,6-8千/月,http://jobs.51job.com/beijing-hdq/99560728.html?s=01&t=0,一、工作职责：1、 产品销售：负责高端伺服行业及相关机电产品（控制器，伺服电机，直驱电机，电缸，滚柱丝杠，减速机，编码器等）销售；2、 客户关系维护：负责辖区内大客户的跟踪，定期电话回访客户，维护和跟踪长期目标行业客户；3、 日常用户管理：客户信息登记、关系维护、需求意见反馈等。4、 负责销售区域内销售活动的策划和执行；5、 负责处理招投标项目合同的拟定、谈判、签约；6、 负责企业品牌推广，市场及行业信息收集，加深了解。二、任职要求：1、 机电及自动化等相关专业，国家正式大学本科及以上学历。2、有二年及年以上的运动控制行业产品销售经验，熟悉北方区伺服行业情况，有相关客户基础者优先。3、熟悉运动控制产品，伺服产品，直驱电机，减速机等，熟悉欧美系高端伺服及有相关销售经验者优先。4、英语熟练，通过国家CET 4 考试，能够读懂行业内的英语产品文档，有一定的口语表达能力5、具有较强的沟通协调能力，对营销工作具有极大的热情。学习能力强，有挑战精神；6、有极强的自信心、责任心和敬业精神，能够承受较大的工作压力，市场敏感度高；7、优秀的应届毕业生亦可考虑三、提供福利：1、提供非常有诱惑的待遇，具体针对个人相关能力面谈；2、按国家规定为员工缴纳五险一金；3、每年定期组织员工免费体检；4、每年定期组织员工外出旅游，节日活动及温馨福利。5、发展空间极大，期望志同道合的人加入并与公司共同成长！工作地址：北京海淀区西三环北路21号久凌大厦北楼412 (北京/苏州可任选）官网：www.joy-motion.com邮箱：sales@joy-motion.com
前台接待,沈阳和平中科中医医院有限公司,沈阳-和平区,2-3千/月,http://jobs.51job.com/shenyang-hpq/99560732.html?s=01&t=0,岗位职责:负责接待来院顾客、完成接待、指引、介绍等流程任职资格：1、 形象好、气质佳、中专以上学历、专业不限2、年龄不限
招聘专员,广州源音广告有限公司,广州-天河区,3-4.5千/月,http://jobs.51job.com/guangzhou-thq/99559793.html?s=01&t=0,薪资待遇：底薪3000--6000元/月+高提成（每个月所负责的主播收益都和专员挂钩，提成可观）工作内容：负责公司主播艺人（网络/地推）招募，主播开播排班，主播日常管理，有效的安排主播开播。公司氛围：和谐融洽，年轻人的天下，期待有活力勤快的你加入我们酷狗直播主播管理团队哦任职要求：男女不限，性格开朗，愿意和公司一起成长，有高薪梦想！
连锁渠道经理,比智高药业有限公司,异地招聘,3.5-8千/月,http://jobs.51job.com/nanchang/99558721.html?s=01&t=0,1、热爱销售工作，有良好的沟通能力，能独立开发市场；2、吃苦耐劳，有挑战高薪欲望或自主创业热情、服从管理者；3、有相关连锁资源者优先。工作内容：1、全面负责所辖市场区域内连锁的开发，产品推广、销售回款、日常维护工作。2、全面负责所辖市场区域内合作客户的相关培训。3、负责省区内市场推广活动的策划与执行。联系电话：15172525214 张先生
开发报建主管,长沙香江商贸物流城开发有限公司,长沙-开福区,0.8-1万/月,http://jobs.51job.com/changsha-kfq/98892807.html?s=01&t=0,岗位职责：1、负责房地产项目开发各级政府所规定的前期核准、审批手续的办理2、负责房地产项目在开发报建中向各级政府、各级职能部门申报项目建设计划、项目建设方案、设计图纸等审批文件          3、负责根据公司项目开发计划在规定时间内完成各级政府、各级职能部门所规定的各项审查、审批手续，取得房地产开发“五证”，保证项目在规定时间内依法开工建设、对外销售 4、负责公司项目各类配套设施、临时建筑的申报、审批手续办理5、根据公司项目开发计划在规定时间内完成不动产权证首次登记办理6、负责配合政府部门、集团公司完成项目新地块的前期招牌挂，并办理相关土地获取手续7、根据公司发展战略，寻求及征集优质土地资源进行储备岗位要求：1、大专以上学历，3年以上同岗位工作经验2、熟悉本地相关政策、熟悉相关政府部门办事流程3、熟悉办公软件操作、CAD软件操作，开朗外向、细致严谨、有责任心
给排水工程师,山东华信交通工程咨询有限公司,济南-历城区,8-25万/年,http://jobs.51job.com/jinan-lcq/98318018.html?s=01&t=0,学历要求：相关专业本科及以上学历工作经验：1年及以上工作经验年龄要求：不限专业要求：桥梁、桥梁与隧道工程、公路与桥梁、土木工程、结构工程（公路桥梁方向）等桥梁专业的全日制本科及以上学历。职位要求：一般设计人员或专业负责人，主要从事公路、铁路、城市道路的桥梁、涵洞、互通立交等项目的设计工作。1、本科及以上学历；2、有大型项目设计经历者优先考虑；3、具有项目工作经验，熟悉施工图设计、项目管理和有关的设计规范及要求；4、熟悉公路、市政桥梁工程设计行业，掌握设计工作流程，具备本专业的基本理论知识，了解相关专业知识；熟练运用Office、Auto CAD及相关专业程序；5、能适应出差，细心严谨，能吃苦耐劳，具有团队精神及沟通协调能力。薪资待遇：年收入8-25万，底薪+年终提成+奖金，收入分配制度和进入公司的时间长短、学历、资历、职称没有绝对的关系，主要看本人完成的设计任务工作量的多少来发放奖金，多劳多得！按照在项目上完成的设计任务、完成的图纸具体核定，上不封顶。公司提供五险一金，年度体检、集体旅游、月度聚餐、节日红包、生日礼物等。
海运操作/货代操作/业务跟单,青岛嘉凯运通国际物流有限公司,青岛-市北区,2-4.5千/月,http://jobs.51job.com/qingdao-sbq/96894344.html?s=01&t=0,"岗位职责1、接收订单以及安排订舱、运输、货物跟踪、报关、结算等事宜；2、制作海空运单证及其它相关文件，负责录入应收应付费用；3、负责提供海外代理业务文件及放货事宜；4、单证及文件的整理及归档等；任职资格1、专科及以上学历，进出口贸易运输、物流类相关专业；2、有无操作经验尚可；公司提供完善的培训制度3、熟悉海/空运操作，具备单证、货代、运输及一定进出口贸易知识；4、英文熟练，电脑操作熟练；5、工作细心、责任心强，具有较强的服务意识和团队精神。						"
销售经理,北京中税网控股股份有限公司苏州分...,苏州-姑苏区,6-8千/月,http://jobs.51job.com/suzhou-gsq/91883867.html?s=01&t=0,"中税网苏州分公司，只为中高型企业财务总监、财务主管服务，给予他们最好的财税服务，主要是电话销售+上门拜访，销售我们的财务课程以及财税学习机，给客户最好的学习体验！需要销售顾问、销售经理、销售总监，你可以是销售路上的小白，但是只要你有追求，敢于与人沟通，喜欢进步，不断超越，那你不成功谁成功呢我们是主要是电销，也就是电话销售，这就需要你有足够的耐心，以及对自己的信心，我们对电话量没有考核，现在也在进行微信营销，我们在不断进步，需要注入新的血液你，愿意加入我们吗？						"
校长,合肥剑桥学校,合肥,1-1.5万/月,http://jobs.51job.com/hefei/95222429.html?s=01&t=0,"任职要求： 1、全日制本科及以上学历； 2、2年以上教育行业校区管理经验 3、抗压能力强，拥有优秀的团队管理能力及积极进取的精神； 4、有较强的组织、协调、沟通及领导能力，具有强烈的市场洞察力； 岗位职责： 1、负责完成地市学校收入预算任务，根据战略规划合理分解预算并制定任务； 2、全面负责地市学校的外部公共关系维护开发以及日常运营管理； 3、负责地市学校的教学管理、教学质量监督和教学服务管理； 4、负责教师队伍建设，包括教师招聘、选拔、培养和功底提升等； 5、负责教师日常管理、考核、定级； 6、完成领导交办的其他事务						"
销售内勤,天津嘉汇捷瑞医药科技有限公司,天津-宝坻区,3-4.5千/月,http://jobs.51job.com/tianjin-bdq/88948687.html?s=01&t=0,1、 依据销售部经理制定的销售计划。完成公司制定的销售任务（月度/年度）、回款、利润指标的完成。（与外勤销售技术人员及时沟通）2、 开发新客户，拓展与老客户的业务，建立和维护客户档案，收集一线市场信息和用户意见，对公司营销策略、广告、售后服务、产品改进新产品开发等提出参考意见。3、 对客户在销售和使用过程中出现的问题及时进行协调解决。4、 拟定销售合同，将双章合同及时回传至总公司，对本部门的销售情况进行汇总，与财务部进行对账5、 对所负责的客户发货物流情况进行及时的跟踪。6、 将每周的需要走访客户名单及时发至部门领导处。7、 领导交办的其他工作事项
实习生,上海美设国际货运有限公司,成都-锦江区,13元/小时,http://jobs.51job.com/chengdu-jjq/99560689.html?s=01&t=0,岗位职责1、在公司各部门轮岗实习；2、熟悉公司各部门的运作情况；3、配合领导做好各部门的衔接工作；4、配合辅助销售人员工作。任职资格1、不限学历经验，热爱销售工作；2、善于沟通，有较强的语言表达能力；3、有较强的进取心、学习能力，勇于挑战自我，不甘平庸；4、有较强的服务意识。
机电维修工,青岛势坤工贸有限公司,青岛-城阳区,3.5-5.5千/月,http://jobs.51job.com/qingdao-cyq/99278781.html?s=01&t=0,20年来，我们专注于进口水产品加工、出口、贸易。从阿拉斯加到欧洲大陆，从堪察加到美国，我们的产品跨越了半个地球直达世界各地，规模口碑同级壮大。目前，公司业务已拓展至俄罗斯，在东北亚经济圈建立采购、加工根据地，建于中国吉林珲春的大型水产加工基地已经开始运营。展望未来，我们信心百倍。我们相信，团队是公司发展的发动机，卓越的人才是公司的源动力。岗位职责：1、负责各类生产设备的机械维修工作；2、参与编制设备维修保养巡检计划，并负责监督指导机械维修工、操作工认真执行；3、参与新设备的安装调试；4、对设备的故障原因进行分析汇总，落实改进方案实施。我们不能承诺给你高薪，但我们承诺：付出就有回报！（投递简历，表示您已接受公司的福利待遇）有意者发简历至：hotjoes@sina.com
工程部经理,杭州兴洋环保科技有限公司,杭州-下城区,5.5-8千/月,http://jobs.51job.com/hangzhou-xcq/96167507.html?s=01&t=0,岗位描述：1.全面负责管理安装工程（水、电、接管道、电焊），包括工程的质量、进度、材料、人员控制和管理；2.组织编制施工方案及作业指导书，并督促实施，参与工程质量检验评定；3.对安装工程质量进行控制、管理和监督；4.积极与业主沟通，组织有关人员参与工程的设计交底及图纸会审，并负责组织治理；5.负责组织对施工员、作业队等进行图纸交底；6.负责检查、指导对安装原材料的送检、试验工作；7.负责对安装工程技术资料的检查，确保与施工进度同步；8.参与不合格品的评审与处理，组织纠正和预防措施的实施。任职要求：1.有环保、化工行业2年以上工程项目安装经理工作经验优先；2.吃苦耐劳，善于分析、协调；沟通能力强；3.有丰富现场安装管理经验；4.适应长期出差。
人事专员,上海万虎光大通信设备有限公司,上海,4.5-6千/月,http://jobs.51job.com/shanghai/99560734.html?s=01&t=0,工作内容：1、负责上海公司管辖区域内人员的招聘配置2、分析并制定人力资源编制表，维护内部招聘渠道，开拓、建立并维持与各招聘渠道的关系3、深入各需求部门工作及专业要求，合适用人4、建立完善的内外部储备人才库，跟踪员工绩效考评5、负责部门领导交代的其他相关工作岗位要求：1、本科以上学历，专业不限，一年招聘相关工作经验2、熟悉人事招聘体系，对零售/快消等行业了解3、愿意学习，能够吃苦耐劳
行政助理,义乌市与进房地产经纪有限公司,义乌,3-4.5千/月,http://jobs.51job.com/yiwu/99465115.html?s=01&t=0,"工作内容：主要负责基本的行政人事事宜要求：1、大专以上学历，年龄22-35岁。2、普通话标准，,熟练运用办公软件，工作主动，责任心强。3、品貌端正大方，待人诚恳热情，有人事行政管理工作经验优先。4.纪律性强,目标感强,执行力强！5.细致耐心有思路，心理素质较好。6.能熟练运用办公软件，文字功底较好。7.知道重要和紧急的区别，做事严谨。8.面试时带上相关学历及资料！"
销售助理,大连吉田拉链有限公司青岛分公司,青岛-市北区,4.5-6千/月,http://jobs.51job.com/qingdao-sbq/75908614.html?s=01&t=0,根据目前的客户总数进行分配，协助业务做好销售，具体工作职责：1）根据客户要求制作销售合同，与客户进行合同的签订；2）整理客户订单，合同的执行并归档管理；3）做好订单的售后服务，与工厂进行订单跟进，直到订单发货；4）协助销售人员完成销售任务岗位要求：全日制大专及以上学历，专业不限；英语6级，能用于工作；工作认真负责，以细节为导向，做事积极主动。***福利待遇：公司提供五险一金 工时八小时 双休及国家法定节假日 年终奖
采购员,爱拓化工（重庆）有限公司,上海-徐汇区,0.4-1万/月,http://jobs.51job.com/shanghai-xhq/97893751.html?s=01&t=0,1，按客户要求，询医药类、精细化工品等化工产品。2，寻找、开发优质供应商，包括但不限于开发定制供应商等，降低采购成本。3，按采购计划下单采购，发货进度跟进。4，解决项目生产或运输环节各类突发情况。5，带客户参观审计供应商等。6，完成领导交与的其它任务。任职条件：1，精通有机化学，会解析NMR/HPLC/GC/LCMS等各类图谱，通过供应商提供的图谱判断产品的正确性。2，精通英语交流（或日语交流），日本与总部同事沟通完全用英语或日语，熟练掌握日常英语和化学专业英语。3、会日语更佳，有相关国际贸易经验更佳，有医药类供应商开发经验更佳。4、良好的沟通能力、谈判能力、成本意识和服务意识；5，有医药化工中间体行业销售或采购经验更佳；6、工作细致认真，责任心强，思维敏捷，具有较强的团队合作精神，有良好的职业道德和素养。本公司重庆分公司和上海办事处均招聘此职位，上班地点在上海徐汇区银都路298号或重庆市九龙坡区石桥铺渝州路27号。
亚马逊运营经理,深圳市弘南科通信设备有限公司,深圳-福田区,1.5-2万/月,http://jobs.51job.com/shenzhen-ftq/99560685.html?s=01&t=0,亚马逊运营经理：1名任职要求 1、28-40岁；大专及以上学历，国际贸易、商务英语、电子商务专业优先考虑； 2、具备良好的英语水平以及与客户通过EMAIL和电话流畅交流的能力； 3、有阿里巴巴/eBay/亚马逊/速卖通等2-3年以上的网站运营工作经验者，熟悉平台操作、支付、异议处理等程序和规则； 4、熟悉其他B2C平台及互联网络，熟练使用网络交流工具和Office软件，懂PS更佳； 5、工作认真负责，做事细心踏实，积极主动，沟通能力强，语言表达能力佳，能灵活解答客户的问题。有责任感能与同事融洽相处。 任职要求：1、负责组建及带领亚马逊营销团队，开展在亚马逊全球各站点（US、UK、DE、FR、IT、ES、JP）的运营工作，包括各类营销方案的策划及实施；广告投放等。 2、针对不同的推广渠道，开展营销活动，协调各方面资源配合执行，对推广商品具备有效的判断，及时跟进推广效果，根据推广效果提出调整建议； 3、负责制定计划并指导团队进行工作，实现高效运作，包括用户需求分析、页面设计优化、流量分析等，带领整个团队实现营销目标； 4、定期整理分析运营的各项数据，及时撰写运营分析报告，并提出合理化建议； 5、根据公司战略需要，带领团队在现行产品类目下作深入开发，丰富公司产品线； 6、建立并不断优化运营流程，团队人才管理及培养。 工作时间：周一至周六9：00-18：00。 薪酬方案：底薪+业绩提成+年终绩效分红。 
豪宅销售代表  底薪7000+高提成+六险一金,上海丽兹行房地产经纪有限公司,上海-长宁区,0.6-1.4万/月,http://jobs.51job.com/shanghai-cnq/99106772.html?s=01&t=0,企业亮点：挑战高薪、提供房源客源、氛围好、扁平化管理、晋升公平、带薪培训、一对一师徒辅导、海外房产、高端国内豪宅企业关键词：豪宅 行业领先 绝对优势 京沪联动 国内外联动 高素质团队 高净值客户丽兹行集团（LANDZ REALTOR）------行业标杆市场成交占比大规模一千多人上海分公司2016年成立【岗位要求】1.21-35周岁，统招二本院校学历及以上，具有较强的学历能力；2.具有良好的亲和力、理解能力、逻辑协调和沟通能力；3.积极乐观开朗，为人诚实守信，工作积极主动，注重团队合作；4.愿意服务于高端客户，并且通过与高端客户面对面沟通有意愿提升自己的综合能力；5.愿意参加公益活动，具有爱心和感恩之心；【岗位职责】1.新员工入职，熟悉了解产品信息（京、沪、美、英、澳、加豪宅楼盘项目+金融产品等）；2.详细了解客户的核心诉求，精准匹配合适的产品信息；3.与客户面对面沟通，通过Ipad、豪宅APP、楼盘字典等营销工具前期介绍产品信息，带客户看房、讲盘，通过市场数据分析，进行磋商、谈判，促成产品成交等；【培训系统】企业内训+外训+一对一师徒辅导制培养内训：新锐培训班+技能培训班+法务权证知识培训+MOT培训+流动大课堂+黄埔培训班（每6个月一期）  +管理培训班外训：外聘讲师+PMBA课程+EMBA课程（参加知名培训机构及学府的高级管理研修班）【晋升体系】1.豪宅专家晋升路线：A0初级豪宅顾问-A8资深客户经理2.营销管理晋升路线：A0初级豪宅顾问-A2豪宅顾问-参加公开竞聘晋升（B1-B9）店经理B3店经理-（C1-C3）店面总监C2店面总监-大区总监3.运营岗位-内部转岗总部职能团队【薪资待遇】无责任底薪6000元/月+高额提成+年终绩效奖金+精英留任奖励+带薪年假【其他福利】六险一金：养老、失业、医疗、工伤、生育、商业保险；享受免费健康检查；住房公积金;接打电话均免费：企业内部通话免费；多重奖励：新人奖、品质奖、价值范、支持个人及团队、职能嘉奖、个人破纪录奖、年度海内外旅游（泰山、青岛、杭州、海南、云南、韩国、马尔代夫……等你来！）丽兹是创业公司，不忘初心方得始终你是否想去一家蓬勃发展的企业；你是否想去一家工作环境简单、氛围融洽的企业；你是否想去一个公平晋升的平台；如果想，来丽兹看看……（温馨提示：因每日简历投递量非常大，如您在一日之内未接到HR电话，请致电预约面试，望理解！）联系方式：HR 张琼林 18301780020简历投递：qionglin_landzsh@163.com公司地址：上海浦东新区浦电路577号葛洲坝大厦（平安财富大厦）工作地点就近分配集团官网：www.landzestate.com丽兹行的门向有梦想，乐挑战，想成长的你敞开着，我们在这里等你......关键字：上海 浦东 浦东新区 房产 地产 房地产   销售 经纪人  置业顾问 中原  太平洋  信义 豪宅 地铁  花木 陆家嘴
